,word,frequency
0,could,1
1,diameter,1
2,write,1
3,function,6
4,solid,5
5,semicircular,1
6,away,1
7,expression,1
8,values,3
9,along,3
10,properties,1
11,move,1
12,involving,1
13,functions,2
14,shape,1
15,neither,1
16,solve,1
17,toward,1
18,moves,1
20,constant,2
21,directly,1
23,solution,1
24,circular,1
25,cm,4
26,start,1
27,th,1
28,proportionality,1
29,depth,1
30,horizontal,2
31,time,9
32,evaporating,1
33,leaks,1
35,generated,2
36,revolved,2
38,graphs,5
39,squares,1
40,shaded,3
41,exposed,1
42,particles,2
43,interval,3
44,coordinate,2
45,closed,1
46,origin,3
47,review,5
48,un,1
49,area,3
50,calculus,5
51,increasing,2
52,units,2
53,hours,1
54,particle,9
55,indicate,2
56,water,5
57,base,2
58,velocity,2
59,highest,1
60,find,10
61,enclosed,5
62,equation,2
63,curve,3
65,measured,1
66,point,5
67,true,2
68,many,1
70,height,1
72,reaches,1
73,ab,5
74,give,1
75,value,3
76,answer,4
78,shown,5
79,sheet,5
80,tanker,2
81,local,2
82,axis,5
83,show,3
84,change,2
85,one,1
86,continuous,2
87,hour,1
89,inflection,1
90,rate,4
91,graph,6
92,due,1
94,maximum,1
95,shows,1
96,selected,1
97,equal,1
98,leaking,1
99,defined,1
100,xam,1
101,proportional,1
104,exam,4
105,exists,1
106,justify,3
107,much,1
108,consists,1
109,respective,1
110,name,5
112,cross,2
115,changing,1
116,reason,1
118,position,3
119,perpendicular,2
120,integral,1
121,open,1
122,container,6
123,none,1
124,limit,2
125,exist,2
126,right,1
127,evaporation,1
128,given,6
129,differential,1
130,line,6
131,two,3
132,region,6
134,used,1
135,four,1
136,table,1
137,respect,1
138,minimum,1
140,speed,2
141,session,5
142,three,1
143,decreasing,1
145,cone,2
146,gallons,6
147,segments,1
148,oil,2
149,acceleration,1
150,consider,2
151,opening,1
152,let,4
153,moving,2
154,found,1
155,part,1
156,concave,2
157,statements,1
158,must,1
160,figure,2
161,tangent,1
162,following,2
163,measure,2
164,ap,6
166,per,1
167,square,1
168,surface,1
169,sections,2
172,volume,8
